target_atr,stop_atr,hold,rr,setup,n,win_rate,r_mean,r_ci_lo,r_ci_hi,edge_vs_control
1.0,0.75,5,1.3333333333333333,breakout_20d,16238,0.37744796157162214,-0.0838142759341485,-0.11139125884853551,-0.056260998663176374,-0.06880799229759005
1.0,0.75,5,1.3333333333333333,pullback_uptrend,161215,0.40507396954377695,-0.0039276945108570605,-0.030350244122718546,0.024067066320221663,0.0110785891257014
1.0,0.75,5,1.3333333333333333,tight_flag,214638,0.40644713424463513,-0.03147070702718862,-0.05756765020138561,-0.0040317344144341965,-0.01646442339063016
1.0,0.75,5,1.3333333333333333,oversold_bounce,14270,0.4370007007708479,0.08523061358986632,0.029639142443492073,0.1474927242794544,0.10023689722642479
1.0,0.75,5,1.3333333333333333,high_52w_momo,102108,0.380616602029224,-0.08354100282699603,-0.10408957652974632,-0.06127843353654152,-0.06853471919043758
1.0,0.75,5,1.3333333333333333,any_liquid,112903,0.39243421343985546,-0.015006283636558461,-0.036855337774150426,0.006497325269966496,0.0
1.0,0.75,10,1.3333333333333333,breakout_20d,16238,0.4102722010099766,-0.08373397970586278,-0.11154919936179507,-0.05456352853826385,-0.07340175066308793
1.0,0.75,10,1.3333333333333333,pullback_uptrend,161215,0.4430170889805539,-0.000971365646852738,-0.029139120132475892,0.028731414018372932,0.009360863395922119
1.0,0.75,10,1.3333333333333333,tight_flag,214638,0.4361995545989061,-0.03083328413276825,-0.05782205440397708,-0.001852593445624948,-0.020501055089993392
1.0,0.75,10,1.3333333333333333,oversold_bounce,14270,0.4746320953048353,0.08872535862744368,0.03159649107845356,0.15022459096421054,0.09905758767021854
1.0,0.75,10,1.3333333333333333,high_52w_momo,102108,0.41227915540408194,-0.08345974437426915,-0.10531993314046235,-0.06000039033124298,-0.0731275153314943
1.0,0.75,10,1.3333333333333333,any_liquid,112903,0.436348015553174,-0.010332229042774857,-0.03362614974519567,0.012802750154874424,0.0
1.0,0.75,20,1.3333333333333333,breakout_20d,16238,0.4146446606724966,-0.08236780887721798,-0.11038151735834825,-0.05289967214726761,-0.07224660722289063
1.0,0.75,20,1.3333333333333333,pullback_uptrend,161215,0.44698074000558263,-0.0010965329853182756,-0.029564244661607574,0.028963995388687505,0.009024668669009073
