strategy,n,mean_R,ci_lo,ci_hi,clears_0,total_R
rule oversold_bounce + model top 30%,2860,0.12021759626700422,-0.011576764079650527,0.26752047664144224,False,343.82232532363207
rule: always oversold_bounce,9238,0.09497309709370122,-0.00907870319178779,0.2066409475990231,False,877.3614709516119
model: top 5%,16469,0.08928707012172722,0.001081905131846858,0.17995215058887581,True,1470.4687578347257
rule pullback_uptrend + model top 30%,30894,0.06786025572260625,-0.01822354078294079,0.15616655473131252,False,2096.4747402941975
rule: always pullback_uptrend,101671,0.06639823255533256,0.015189458792436864,0.12005529776697303,True,6750.774702133216
model: top decile,69244,0.060746823905763095,-0.01595155418169722,0.13858791131321777,False,4206.35307453066
rule: always tight_flag,135536,0.0559154905980109,0.0013697128966777313,0.10848793703765101,True,7578.561933692005
rule tight_flag + model top 30%,41141,0.046257400374517636,-0.03613015528788767,0.13184245290773444,False,1903.0757088080302
take EVERY event,325145,0.0349558893429561,-0.005970572379192018,0.07739022760226287,False,11365.732640415461
rule: always breakout_20d,10385,-0.047860384672773044,-0.09701078101395631,0.00201693304719423,False,-497.03009482674804
rule: always high_52w_momo,68315,-0.048948772180847915,-0.08979944247182284,-0.006168173914045737,False,-3343.935371534625
rule breakout_20d + model top 30%,3214,-0.058048548759990735,-0.14226247365914965,0.023363424871926174,False,-186.56803571461023
rule high_52w_momo + model top 30%,21440,-0.07053493426076471,-0.12918129557350877,-0.010024767412279315,False,-1512.2689905507955
