exit,setup,n,R,edge,lo,hi,months_pos,hold,clears
bracket_1.5R_7d,connors_rsi2,102110,0.06791569657682187,0.11281476398458193,0.0812596850750519,0.14337644664823637,0.7269230769230769,3.6832729409460385,True
bracket_1.5R_7d,pullback_3day,118328,0.0710748468632769,0.08071295810432097,0.05410204538605546,0.10885884654372734,0.6730769230769231,3.7612314921235885,True
bracket_1.5R_7d,rs_pullback_50ma,19142,0.048526070947353825,0.061598194577916376,0.028520495004726393,0.09559239676676387,0.5875486381322957,3.770034479155783,True
bracket_1.5R_7d,connors_rsi2_strict,35217,0.07204145174408508,0.14528161816571566,0.1063119109763831,0.18382916975170163,0.7153846153846154,3.6381009171706844,True
bracket_1.5R_7d,cum_rsi,126979,0.07537927690048231,0.10827244094137069,0.07676126729886433,0.13867255610431717,0.6923076923076923,3.7653785271580342,True
bracket_1.5R_7d,ibs_low,241491,0.03935747486204833,0.025454665550158462,0.004876038591862837,0.04590995899495974,0.5923076923076923,3.7816357545415773,True
bracket_1.5R_7d,bb_lower,103516,0.07359374420224846,0.12070260966212482,0.08653148850187443,0.15408045172099452,0.6756756756756757,3.6544398933498203,True
bracket_1.5R_7d,idio_drop,88315,-0.004214776545438685,-0.04737266466845952,-0.07282506002025922,-0.021080607202379947,0.4362934362934363,3.952080620506143,False
bracket_1.5R_7d,market_drop,38797,0.12446024642858018,0.2698899060728338,0.21157110714803973,0.32837275539056443,0.7292576419213974,3.4697528159393767,True
bracket_1.5R_7d,down_5days,136586,0.07248223764242995,0.1292050520656052,0.0984458462103782,0.15968467167294603,0.7192307692307692,3.720666832618277,True
bracket_1.0R_5d,connors_rsi2,102110,0.044997501349886976,0.09572764583544209,0.07348727192783701,0.1182486623080426,0.7076923076923077,2.6581333855645872,True
bracket_1.0R_5d,pullback_3day,118328,0.04209760193395713,0.062229163717109896,0.041504496254762484,0.08347816104182543,0.6846153846153846,2.732168210398215,True
bracket_1.0R_5d,rs_pullback_50ma,19142,0.025809494170724333,0.05977430500294537,0.03281457383227289,0.08818619658237428,0.603112840466926,2.7455333820917356,True
bracket_1.0R_5d,connors_rsi2_strict,35217,0.05307006082491535,0.12257882743973661,0.09271719951155936,0.15322187062774947,0.7230769230769231,2.613368543601102,True
bracket_1.0R_5d,cum_rsi,126979,0.05058561328869068,0.08972169424970067,0.06740060136363175,0.11188297941226961,0.7,2.72543491443467,True
bracket_1.0R_5d,ibs_low,241491,0.011084404152773213,0.019919651631493823,0.0027923797509144936,0.03774091110255192,0.5923076923076923,2.767821575131164,True
bracket_1.0R_5d,bb_lower,103516,0.04597850625338573,0.0981856430638912,0.07314787327994479,0.12262682351387952,0.6756756756756757,2.627246029599289,True
bracket_1.0R_5d,idio_drop,88315,-0.014310094829097486,-0.029111080526235948,-0.04987457297162336,-0.007041217602087353,0.43243243243243246,2.8866783672082885,False
bracket_1.0R_5d,market_drop,38797,0.07505997165949571,0.22649113757755868,0.18374051943408898,0.2701272270402084,0.7510917030567685,2.509549707451607,True
bracket_1.0R_5d,down_5days,136586,0.050887333503218585,0.10867257295338326,0.086104966314815,0.13119402073922537,0.7653846153846153,2.6899242967800507,True
bracket_2.0R_10d,connors_rsi2,102110,0.0813623942552852,0.12147745246038436,0.08463187295035567,0.15845451037452357,0.7153846153846154,4.807051219273332,True
bracket_2.0R_10d,pullback_3day,118328,0.08967649009852427,0.08789734391174711,0.055807262994729136,0.12112669947976891,0.6538461538461539,4.891969778919614,True
bracket_2.0R_10d,rs_pullback_50ma,19142,0.07277540888146179,0.07781050995623681,0.03861000116864287,0.11779572522339103,0.6147859922178989,4.876867620938251,True
bracket_2.0R_10d,connors_rsi2_strict,35217,0.07718378121934966,0.15306410598057366,0.10518204508501079,0.20210354234927852,0.676923076923077,4.762415878694949,True
bracket_2.0R_10d,cum_rsi,126979,0.08585039591515553,0.11665346998305583,0.07981354714987542,0.152818947370697,0.7,4.908417927373818,True
bracket_2.0R_10d,ibs_low,241491,0.06121600567813555,0.02889118823209832,0.005265586257656506,0.052771923086854244,0.5846153846153846,4.899159803056842,True
bracket_2.0R_10d,bb_lower,103516,0.09104291212573096,0.13967870383538014,0.09628668543092032,0.18155667152943716,0.6833976833976834,4.787327562888829,True
bracket_2.0R_10d,idio_drop,88315,0.0015818399123596187,-0.053476734398889614,-0.08441718818818396,-0.02020378491918285,0.40540540540540543,5.133929683519221,False
bracket_2.0R_10d,market_drop,38797,0.14819534419376054,0.32814030340694317,0.257873695572814,0.3965165643432674,0.7379912663755459,4.549114622264608,True
bracket_2.0R_10d,down_5days,136586,0.08497154046653212,0.14259540167862791,0.10627557609063909,0.1798311846028156,0.7,4.853542822836894,True
bracket_1.5R_3d,connors_rsi2,102110,0.035950366871511964,0.08210359297453747,0.05674316934276369,0.10757057215726099,0.6807692307692308,2.4460287924786996,True
